data|ExistingDMD (rank=5)|CenteredDMD d=50 e=.99 rmax=20|UnitCircleDMD d=50 e=.99 rmax=20|UnitCircleDMD d=100 e=.99 rmax=40|HAVOK d=100 r=11|HAVOK d=200 r=25
958.0|775.605|939.169|873.218|864.678|870.614|948.351
939.0|780.416|953.191|863.29|836.891|853.186|926.258
921.0|787.041|966.191|863.19|806.759|843.67|905.12
905.0|794.81|976.903|873.139|777.189|842.364|886.133
889.0|802.94|984.054|892.339|755.388|848.831|870.385
851.0|810.621|986.567|918.955|750.496|862.021|858.777
824.0|817.092|983.805|950.216|769.988|880.365|851.954
811.0|821.717|975.788|982.649|816.224|901.949|850.243
799.0|824.051|963.309|1012.433|884.514|924.845|853.643
790.0|823.878|947.886|1035.828|963.529|947.224|861.856
798.0|821.235|931.536|1049.644|1038.026|967.502|874.319
821.0|816.403|916.416|1051.68|1093.041|984.396|890.202
861.0|809.88|904.419|1041.091|1118.15|997.106|908.489
908.0|802.327|896.825|1018.623|1110.389|1005.259|928.06
944.0|794.504|894.12|986.673|1074.891|1008.915|947.732
980.0|787.19|896.012|949.118|1023.085|1008.418|966.377
1010.0|781.11|901.633|910.901|969.117|1004.26|982.974
1023.0|776.858|909.852|877.383|925.675|997.032|996.709
1032.0|774.843|919.582|853.531|900.563|987.449|1006.999
1035.0|775.25|929.989|843.07|895.001|976.202|1013.503
1023.0|778.02|940.542|847.76|904.029|963.868|1016.12
1006.0|782.86|950.905|866.983|918.698|950.964|1014.962
990.0|789.273|960.745|897.76|929.227|938.004|1010.291
992.0|796.613|969.54|935.254|928.07|925.464|1002.479
981.0|804.144|976.497|973.673|912.04|913.849|991.971
984.0|811.118|980.618|1007.386|882.971|903.816|979.237
974.0|816.848|980.914|1032.005|846.958|896.121|964.75
959.0|820.777|976.704|1045.17|812.555|891.503|948.989
949.0|822.531|967.898|1046.833|788.584|890.569|932.452
942.0|821.953|955.156|1039.005|782.153|893.772|915.701
925.0|819.12|939.874|1025.042|797.325|901.214|899.389
910.0|814.333|923.979|1008.681|834.593|912.684|884.276
890.0|808.081|909.583|993.107|891.086|927.593|871.228
852.0|800.997|898.589|980.305|961.264|944.893|861.183
