name,nrmse,sim_mean,sim_std,lf,hf,loglik,bic,k
ExistingDMD (rank=5),1.9929125829420595,800.0,17.537193439460918,0.9998614834794552,0.00013851652054375782,-27746.089009460924,55533.8838776577,5
CenteredDMD d=50 e=.99 rmax=20,0.9913596365407096,954.7946906622593,12.781419742483704,0.9881080435297289,0.011891956470271331,-24872.850252614757,49745.70050522951,0
UnitCircleDMD d=50 e=.99 rmax=20,1.2282868664780868,960.1431722274406,56.132194437231334,0.9998866778335465,0.00011332216645210583,-24820.379194409143,49640.758388818285,0
UnitCircleDMD d=100 e=.99 rmax=40,1.892072755005895,957.3326862240109,150.08469847689534,0.9992207315357753,0.0007792684642234913,-25641.01072197299,51282.02144394598,0
HAVOK d=100 r=11,0.9979681476867256,956.7278494258011,20.557833795746937,0.9975607070900652,0.002439292909933785,-24819.92898015975,49639.8579603195,0
HAVOK d=200 r=25,1.00826920423892,956.4961338792682,23.64753405340611,0.9982816554486614,0.0017183445513376373,-24823.181905082576,49646.36381016515,0
