feature,primary_domain,window,cold_ms,cold_allocs,warm_ms,warm_allocs,ok,note
range_hr,time,360,0.006452,4072,0.007544,4072,true,
range_hr,time,1000,0.008907,9192,0.008526,9192,true,
renyi0,nonlinear,60,0.00528,1488,0.003857,896,true,
renyi0,nonlinear,360,0.006041,1488,0.003276,896,true,
renyi0,nonlinear,1000,0.006823,1488,0.003787,896,true,
renyi1,nonlinear,60,0.005671,1488,0.003156,896,true,
renyi1,nonlinear,360,0.008286,1488,0.003186,896,true,
renyi1,nonlinear,1000,0.011452,1488,0.003356,896,true,
renyi2,nonlinear,60,0.005681,1488,0.003557,896,true,
renyi2,nonlinear,360,0.007665,1488,0.003336,896,true,
renyi2,nonlinear,1000,0.009337,1488,0.003546,896,true,
rmssd,time,60,0.009678,3504,0.014077,1824,true,
rmssd,time,360,0.011662,8352,0.006532,4248,true,
rmssd,time,1000,0.011993,18656,0.007134,9400,true,
sampen,nonlinear,60,0.114025,313712,0.141517,313712,true,
sampen,nonlinear,360,2.09088,8595424,2.11564,8595424,true,
sampen,nonlinear,1000,17.554,63402048,14.5732,63402048,true,
sd1,geometric,60,0.012273,6672,0.007434,2096,true,
sd1,geometric,360,0.025488,25968,0.0054,6944,true,
sd1,geometric,1000,0.056727,82560,0.009798,17184,true,
sd1_sd2_area,geometric,60,0.027402,9504,0.004358,1024,true,
sd1_sd2_area,geometric,360,0.032111,33648,0.003296,1024,true,
sd1_sd2_area,geometric,1000,0.065854,100480,0.004127,1024,true,
sd2,geometric,60,0.014157,6672,0.004378,2096,true,
sd2,geometric,360,0.02656,25968,0.005871,6944,true,
sd2,geometric,1000,0.063109,82560,0.006202,17184,true,
sd2_sd1,geometric,60,0.018545,9504,0.003858,1024,true,
sd2_sd1,geometric,360,0.035777,33648,0.007064,1024,true,
sd2_sd1,geometric,1000,0.074019,100480,0.003817,1024,true,
sdann,time,60,0.004839,3344,0.004759,3344,true,
sdann,time,360,0.006152,12992,0.006232,12992,true,
sdann,time,1000,0.011602,34624,0.011381,34624,true,
sdnn,time,60,0.003386,736,0.002845,736,true,
sdnn,time,360,0.002885,736,0.002765,736,true,
sdnn,time,1000,0.002916,736,0.003747,736,true,
sdsd,time,60,0.008436,3232,0.004399,1536,true,
sdsd,time,360,0.009077,8080,0.0055,3960,true,
sdsd,time,1000,0.010299,18320,0.004809,9080,true,
shan_en,nonlinear,60,0.009047,5872,0.004709,3392,true,
shan_en,nonlinear,360,0.01083,6064,0.004218,3584,true,
shan_en,nonlinear,1000,0.014768,6144,0.004909,3664,true,
spec_en,nonlinear,60,0.046338,18464,0.048992,18464,true,
spec_en,nonlinear,360,0.163488,90968,0.153399,90968,true,
spec_en,nonlinear,1000,0.18568,244568,0.185799,244568,true,
std_hr,time,60,0.0051,1504,0.002945,912,true,
std_hr,time,360,0.0053,1504,0.003035,912,true,
std_hr,time,1000,0.007114,1504,0.002986,912,true,
svd_en,nonlinear,60,0.006382,6208,0.007193,6208,true,
svd_en,nonlinear,360,0.012864,20640,0.012794,20640,true,
svd_en,nonlinear,1000,0.019386,51376,0.019627,51376,true,
tinn,geometric,60,57.7151,51858560,53.6839,51856080,true,
tinn,geometric,360,56.3004,53820416,55.2789,53817936,true,
tinn,geometric,1000,55.4738,53344544,55.7411,53342064,true,
tp,frequency,60,0.021791,8096,0.006241,1248,true,
tp,frequency,360,0.054753,30848,0.004428,1552,true,
tp,frequency,1000,0.126839,79584,0.004589,2144,true,
triangular_index,geometric,60,0.008346,4080,0.003267,1024,true,
triangular_index,geometric,360,0.010881,4080,0.003256,1024,true,
triangular_index,geometric,1000,0.016071,4128,0.005992,1040,true,
ulf,frequency,60,0.057449,24752,0.057017,16000,true,
ulf,frequency,360,0.103094,49784,0.029997,16208,true,
ulf,frequency,1000,0.234442,103128,0.041799,16272,true,
vlf,frequency,60,0.021431,7856,0.003566,1008,true,
vlf,frequency,360,0.053741,30512,0.003827,1216,true,
vlf,frequency,1000,0.125987,78720,0.004548,1280,true,
